T,genP,demP,H,B   
0,0,0.11,3,3      
0.5,0,0.1,3,3     
1,0,0.095,3,3     
1.5,0,0.103,3,3   
2,0,0.108,3,3     
2.5,0,0.107,3,3   
3,0,0.107,3,3     
3.5,0,0.095,3,3   
4,0,0.094,3,3     
4.5,0,0.104,3,3   
5,0,0.141,3,3     
5.5,0,0.126,3,3   
6,0,0.097,3,3     
6.5,0,0.093,3,3   
7,0.006,0.101,3,3 
7.5,0.025,0.104,3,
8,0.031,0.121,3,3 
8.5,0.05,0.161,3,3
9,0.069,0.15,3,3  
9.5,0.094,0.106,3,
10,0.15,0.102,3,3 
10.5,0.144,0.109,3
11,0.138,0.109,3,3
11.5,0.138,0.105,3
12,0.156,0.104,3,3
12.5,0.2,0.101,3,3
13,0.138,0.097,3,3
13.5,0.181,0.104,3
14,0.138,0.167,3,3
14.5,0.119,0.168,3
15,0.181,0.164,3,3
15.5,0.138,0.261,3
16,0.113,0.204,3,3
16.5,0.088,0.181,3
17,0.05,0.295,3,3 
17.5,0.044,0.265,3
18,0.05,0.389,3,3 
18.5,0.013,0.348,3
19,0,0.281,3,3    
19.5,0,0.247,3,3  
20,0,0.254,3,3    
20.5,0,0.175,3,3  
21,0,0.128,3,3    
21.5,0,0.119,3,3  
22,0,0.112,3,3    
22.5,0,0.12,3,3   
23,0,0.178,3,3    
23.5,0,0.175,3,3  
