T,genP,demP,H,B
0,0,0.519,4,4
0.5,0,0.496,4,4
1,0,0.451,4,4
1.5,0,0.548,4,4
2,0,0.495,4,4
2.5,0,0.492,4,4
3,0,0.547,4,4
3.5,0,0.444,4,4
4,0,0.547,4,4
4.5,0,0.442,4,4
5,0,0.477,4,4
5.5,0,0.462,4,4
6,0,0.516,4,4
6.5,0,0.491,4,4
7,0.006,0.416,4,4
7.5,0.031,0.618,4,4
8,0.05,0.447,4,4
8.5,0.069,0.591,4,4
9,0.075,0.639,4,4
9.5,0.144,0.658,4,4
10,0.113,0.455,4,4
10.5,0.094,0.524,4,4
11,0.169,0.504,4,4
11.5,0.169,0.605,4,4
12,0.213,0.539,4,4
12.5,0.244,0.476,4,4
13,0.231,0.542,4,4
13.5,0.294,0.544,4,4
14,0.119,0.447,4,4
14.5,0.169,0.536,4,4
15,0.131,0.535,4,4
15.5,0.1,0.373,4,4
16,0.113,0.519,4,4
16.5,0.063,0.59,4,4
17,0.063,0.526,4,4
17.5,0.075,0.543,4,4
18,0.038,0.565,4,4
18.5,0.006,0.545,4,4
19,0.006,0.654,4,4
19.5,0,1.213,4,4
20,0,0.714,4,4
20.5,0,0.534,4,4
21,0,0.62,4,4
21.5,0,0.688,4,4
22,0,0.652,4,4
22.5,0,0.628,4,4
23,0,0.515,4,4
23.5,0,0.543,4,4
