T,genP,demP,H,B
0,0,0.252,5,15
0.5,0,0.292,5,15
1,0,0.271,5,15
1.5,0,0.271,5,15
2,0,0.269,5,15
2.5,0,0.253,5,15
3,0,0.302,5,15
3.5,0,0.259,5,15
4,0,0.258,5,15
4.5,0,0.34,5,15
5,0,0.271,5,15
5.5,0,0.287,5,15
6,0.006,0.269,5,15
6.5,0.006,0.238,5,15
7,0.025,0.259,5,15
7.5,0.056,0.264,5,15
8,0.131,0.279,5,15
8.5,0.269,0.234,5,15
9,0.313,0.25,5,15
9.5,0.344,0.289,5,15
10,0.394,0.434,5,15
10.5,0.413,0.307,5,15
11,0.413,0.324,5,15
11.5,0.306,0.323,5,15
12,0.381,0.278,5,15
12.5,0.381,0.302,5,15
13,0.363,0.309,5,15
13.5,0.35,0.456,5,15
14,0.319,0.328,5,15
14.5,0.144,0.34,5,15
15,0.019,0.308,5,15
15.5,0.019,0.317,5,15
16,0.013,1.192,5,15
16.5,0.006,0.946,5,15
17,0.013,0.856,5,15
17.5,0.019,0.563,5,15
18,0.019,0.272,5,15
18.5,0.006,0.275,5,15
19,0,0.268,5,15
19.5,0,0.232,5,15
20,0,0.303,5,15
20.5,0,0.33,5,15
21,0,0.873,5,15
21.5,0,1.049,5,15
22,0,0.885,5,15
22.5,0,0.783,5,15
23,0,0.743,5,15
23.5,0,0.291,5,15
