T,genP,demP,H,B
0,0,0.116,96,536
0.5,0,0.107,96,536
1,0,0.177,96,536
1.5,0,0.167,96,536
2,0,0.119,96,536
2.5,0,0.174,96,536
3,0,0.14,96,536
3.5,0,0.132,96,536
4,0,0.112,96,536
4.5,0,0.122,96,536
5,0,0.179,96,536
5.5,0,0.129,96,536
6,0.006,0.11,96,536
6.5,0.013,0.152,96,536
7,0.031,0.107,96,536
7.5,0.05,0.138,96,536
8,0.063,0.22,96,536
8.5,0.05,0.22,96,536
9,0.081,0.37,96,536
9.5,0.106,0.16,96,536
10,0.181,0.119,96,536
10.5,0.175,0.165,96,536
11,0.194,0.211,96,536
11.5,0.213,0.155,96,536
12,0.244,0.123,96,536
12.5,0.244,0.138,96,536
13,0.363,0.185,96,536
13.5,0.431,0.103,96,536
14,0.425,0.092,96,536
14.5,0.425,0.133,96,536
15,0.413,0.115,96,536
15.5,0.4,0.342,96,536
16,0.375,0.206,96,536
16.5,0.263,0.636,96,536
17,0.3,0.341,96,536
17.5,0.244,0.575,96,536
18,0.094,1.32,96,536
18.5,0.013,1.328,96,536
19,0,0.804,96,536
19.5,0,0.743,96,536
20,0.006,0.455,96,536
20.5,0,0.378,96,536
21,0,0.343,96,536
21.5,0,0.32,96,536
22,0,0.226,96,536
22.5,0,0.103,96,536
23,0,0.135,96,536
23.5,0,0.076,96,536
