T,genP,demP,H,B
0,0,0.838,1,62
0.5,0,0.936,1,62
1,0,0.804,1,62
1.5,0,0.285,1,62
2,0,0.247,1,62
2.5,0,0.245,1,62
3,0,0.814,1,62
3.5,0,1.074,1,62
4,0,0.138,1,62
4.5,0,0.138,1,62
5,0,0.743,1,62
5.5,0,0.809,1,62
6,0.019,0.441,1,62
6.5,0.081,0.087,1,62
7,0.194,0.135,1,62
7.5,0.313,0.129,1,62
8,0.525,0.199,1,62
8.5,0.588,0.295,1,62
9,0.925,0.436,1,62
9.5,1.256,0.104,1,62
10,1.425,0.726,1,62
10.5,1.063,0.657,1,62
11,0.794,0.715,1,62
11.5,1.113,0.804,1,62
12,0.844,0.18,1,62
12.5,1.188,0.175,1,62
13,1.206,0.242,1,62
13.5,1.65,0.219,1,62
14,1.069,0.184,1,62
14.5,1.569,0.214,1,62
15,1.294,0.485,1,62
15.5,1.125,0.213,1,62
16,1.069,0.234,1,62
16.5,0.775,0.19,1,62
17,0.475,0.182,1,62
17.5,0.431,0.867,1,62
18,0.113,1.03,1,62
18.5,0.063,0.642,1,62
19,0.006,0.134,1,62
19.5,0,0.16,1,62
20,0,0.231,1,62
20.5,0,0.182,1,62
21,0,0.262,1,62
21.5,0,0.55,1,62
22,0,0.139,1,62
22.5,0,0.255,1,62
23,0,1.383,1,62
23.5,0,0.766,1,62
0,0,0.129,2,66
0.5,0,0.131,2,66
1,0,0.11,2,66
1.5,0,0.1,2,66
2,0,0.112,2,66
2.5,0,0.128,2,66
3,0,0.133,2,66
3.5,0,0.115,2,66
4,0,0.097,2,66
4.5,0,0.104,2,66
5,0,0.125,2,66
5.5,0,0.221,2,66
6,0.006,0.118,2,66
6.5,0.044,0.182,2,66
7,0.156,0.212,2,66
7.5,0.263,0.678,2,66
8,0.369,0.305,2,66
8.5,0.438,0.27,2,66
9,0.488,0.153,2,66
9.5,0.363,0.113,2,66
10,0.275,0.128,2,66
10.5,0.413,0.121,2,66
11,0.369,0.209,2,66
11.5,0.325,0.257,2,66
12,0.344,0.125,2,66
12.5,0.65,0.126,2,66
13,0.675,0.12,2,66
13.5,0.606,0.1,2,66
14,0.588,0.15,2,66
14.5,0.406,0.181,2,66
15,0.45,0.161,2,66
15.5,0.394,0.117,2,66
16,0.281,0.427,2,66
16.5,0.181,0.542,2,66
17,0.131,0.251,2,66
17.5,0.05,0.285,2,66
18,0.019,0.376,2,66
18.5,0.013,0.849,2,66
19,0,0.805,2,66
19.5,0,0.923,2,66
20,0,0.964,2,66
20.5,0,0.507,2,66
21,0,0.328,2,66
21.5,0,0.296,2,66
22,0,0.293,2,66
22.5,0,0.319,2,66
23,0,0.298,2,66
23.5,0,0.269,2,66
0,0,0.042,3,76
0.5,0,0.041,3,76
1,0,0.097,3,76
1.5,0,0.091,3,76
2,0,0.049,3,76
2.5,0,0.044,3,76
3,0,0.046,3,76
3.5,0,0.045,3,76
4,0,0.052,3,76
4.5,0,0.059,3,76
5,0,0.05,3,76
5.5,0,0.038,3,76
6,0,0.036,3,76
6.5,0.069,0.044,3,76
7,0.144,0.052,3,76
7.5,0.206,0.05,3,76
8,0.25,0.042,3,76
8.5,0.319,0.038,3,76
9,0.35,0.037,3,76
9.5,0.394,0.045,3,76
10,0.425,0.056,3,76
10.5,0.438,0.063,3,76
11,0.456,0.051,3,76
11.5,0.469,0.055,3,76
12,0.363,0.059,3,76
12.5,0.369,0.086,3,76
13,0.431,0.089,3,76
13.5,0.419,0.05,3,76
14,0.381,0.066,3,76
14.5,0.35,0.066,3,76
15,0.306,0.057,3,76
15.5,0.256,0.048,3,76
16,0.194,0.05,3,76
16.5,0.056,0.049,3,76
17,0.044,0.049,3,76
17.5,0.019,0.049,3,76
18,0.013,0.06,3,76
18.5,0.013,0.056,3,76
19,0,0.071,3,76
19.5,0,0.054,3,76
20,0,0.056,3,76
20.5,0,0.188,3,76
21,0,0.144,3,76
21.5,0,0.124,3,76
22,0,0.168,3,76
22.5,0,0.126,3,76
23,0,0.164,3,76
23.5,0,0.058,3,76
0,0,0.152,4,81
0.5,0,0.111,4,81
1,0,0.112,4,81
1.5,0,0.117,4,81
2,0,0.11,4,81
2.5,0,0.107,4,81
3,0,0.11,4,81
3.5,0,0.125,4,81
4,0,0.194,4,81
4.5,0,0.164,4,81
5,0,0.115,4,81
5.5,0,0.111,4,81
6,0,0.117,4,81
6.5,0.013,0.113,4,81
7,0.019,0.11,4,81
7.5,0.013,0.228,4,81
8,0.038,0.106,4,81
8.5,0.156,0.107,4,81
9,0.2,0.113,4,81
9.5,0.263,0.115,4,81
10,0.206,0.105,4,81
10.5,0.194,0.105,4,81
11,0.169,0.095,4,81
11.5,0.3,0.09,4,81
12,0.2,0.1,4,81
12.5,0.225,0.112,4,81
13,0.294,0.111,4,81
13.5,0.406,0.132,4,81
14,0.363,0.317,4,81
14.5,0.369,0.402,4,81
15,0.356,0.368,4,81
15.5,0.331,0.363,4,81
16,0.313,0.449,4,81
16.5,0.281,0.285,4,81
17,0.2,0.319,4,81
17.5,0.1,0.315,4,81
18,0.044,0.274,4,81
18.5,0.013,0.326,4,81
19,0,0.301,4,81
19.5,0,0.282,4,81
20,0,0.259,4,81
20.5,0,0.205,4,81
21,0,0.112,4,81
21.5,0,0.108,4,81
22,0,0.105,4,81
22.5,0,0.107,4,81
23,0,0.102,4,81
23.5,0,0.101,4,81
0,0,0.066,5,89
0.5,0,0.168,5,89
1,0,0.127,5,89
1.5,0,0.06,5,89
2,0,0.145,5,89
2.5,0,0.202,5,89
3,0,0.15,5,89
3.5,0,0.061,5,89
4,0,0.096,5,89
4.5,0,0.136,5,89
5,0,0.172,5,89
5.5,0,0.084,5,89
6,0.006,0.061,5,89
6.5,0.025,0.122,5,89
7,0.075,0.133,5,89
7.5,0.113,0.06,5,89
8,0.175,0.102,5,89
8.5,0.2,0.11,5,89
9,0.256,0.08,5,89
9.5,0.288,0.207,5,89
10,0.331,0.147,5,89
10.5,0.331,0.423,5,89
11,0.275,0.365,5,89
11.5,0.175,0.278,5,89
12,0.275,0.169,5,89
12.5,0.338,0.214,5,89
13,0.363,0.27,5,89
13.5,0.35,0.46,5,89
14,0.338,0.155,5,89
14.5,0.319,0.146,5,89
15,0.169,0.67,5,89
15.5,0.225,0.561,5,89
16,0.2,0.304,5,89
16.5,0.138,0.315,5,89
17,0.094,0.266,5,89
17.5,0.063,0.254,5,89
18,0.031,0.211,5,89
18.5,0,0.278,5,89
19,0,0.337,5,89
19.5,0,0.398,5,89
20,0,0.378,5,89
20.5,0,0.544,5,89
21,0,0.268,5,89
21.5,0,0.212,5,89
22,0,0.314,5,89
22.5,0,0.315,5,89
23,0.006,0.169,5,89
23.5,0,0.151,5,89
0,0,0.212,6,90
0.5,0,0.187,6,90
1,0,0.173,6,90
1.5,0,0.218,6,90
2,0,0.275,6,90
2.5,0,0.35,6,90
3,0,0.295,6,90
3.5,0.006,0.187,6,90
4,0,0.233,6,90
4.5,0,0.232,6,90
5,0,0.182,6,90
5.5,0,0.191,6,90
6,0,0.198,6,90
6.5,0.013,0.452,6,90
7,0.069,0.342,6,90
7.5,0.15,0.292,6,90
8,0.3,0.275,6,90
8.5,0.413,0.224,6,90
9,0.538,0.34,6,90
9.5,0.619,0.184,6,90
10,0.531,0.162,6,90
